Title,Category 2,Category 3,Supplement Facts,fail_reason_final,final5_parsed,final5_parse_error,fail_reason_final5
"Julian Bakery, InstaKetones Potassium, 0.91 lbs (414 g)",Potassium,,"Supplement FactsServing Size: 1 Scoop (13.8 g)Servings Per Container: 30 Amount Per Serving%Daily Value*Calories30 Total Fat0 g0%Cholesterol0 g0%Potassium3800 mg80%Total Carbohydrate0 g0%Protein0 g0%Beta Hydroxybutyrate(Potassium Ketone Salts)10 g†*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.†Daily Value not established.",성분 추출 실패,,True,성분 추출 실패
"NOW Foods, CoQ10 With Hawthorn Berry, 100 mg, 180 Veg Capsules",Coenzyme Q10 (CoQ10),,Supplement FactsServing Size: 1 Veg Capsule Amount Per Serving%Daily ValueCoenzyme Q10 (CoQ10)100 mg**Hawthorn Berry (Crataegus laevigata and/or monogyna) (Fruit)400 mg****Daily Value not established.,성분 추출 실패,,True,성분 추출 실패
"Solgar, Vegan CoQ-10, 200 mg, 60 Vegetable Capsules",Coenzyme Q10 (CoQ10),,Supplement FactsServing Size: 1 Vegetable CapsuleAmount Per Serving%Daily ValueCoenzyme Q-10 (as ubiquinone)200 mg****Daily Value not established,성분 추출 실패,,True,성분 추출 실패
"NaturesPlus, Source of Life Garden, Iron, 30 Vegan Capsules",Iron,,Supplement FactsServing Size:  1 CapsuleServings Per Container: 30 Amount Per Serving%Daily ValueIron (from Certified Organic Curry [Murraya koenigii] extract)♦18 mg100%♦Orgen Brand,성분 추출 실패,,True,성분 추출 실패
"Flora, Swedish Bitters, 8.5 fl oz (250 ml)",Herbal & Swedish Bitters,Digestive Bitters,"Supplement FactsServing Size: 1 tsp. (5 ml)Servings Per Container: 50 Amount Per Serving %Daily ValueProprietary BlendAqueous extracts of angelica root, zedoary root, cape aloe leaf, manna sap, rhubarb (rheum palmatum) root, senna leaf, myrrh resin, carline thistle root, camphor wood, valerian root, cinnamon bark, cardamom seed, saffron flower.409 mg††Daily Value not established.",성분 추출 실패,,True,성분 추출 실패
"Thorne Research, L-Glutamine Powder, 18.1 oz (513 g)",L-Glutamine,,Supplement FactsServing Size: One Scoop (5.7 g)Servings Per Container: 90 One Scoop (5.7 g) Contains:%DVL-Glutamine5 g**Daily Value (DV) not established.,성분 추출 실패,,True,성분 추출 실패
"American Health, Ester-C with Citrus Bioflavonoids, 250 mg, 120 Capsules",Ester-C,Common Cold & Flu,"Serving Size: 2 CapsulesServings Per Container: 60 Amount Per Serving % Daily Value Vitamin C(as Ester-C® Calcium Ascorbate)1,000 mg (1 g)1,111%Calcium(as Ester-C® Calcium Ascorbate)110 mg8%Citrus Bioflavonoids ComplexCitrus Bioflavonoids (Citrus limon) (fruit), Sweet Orange,Tangerine, Lime, Lemon, Acerola, Rutin, Hesperidin Complex(Citrus spp.) (fruit), Naturally Occurring Vitamin C Metabolites400 mg****Daily Value not established.",성분 추출 실패,,True,성분 추출 실패
"Jarrow Formulas, L-Carnitine 500, 500 mg, 100 Veggie Licaps",L-Carnitine,,Supplement FactsServing Size: 1 Vegetarian Licap®Servings Per Container: 100 Amount Per Serving% DVL-Carnitine (free base)500 mg††Daily Value not established.,성분 추출 실패,,True,성분 추출 실패
"Advanced Orthomolecular Research AOR, Advanced Magnesium Complex, 90 Capsules",Magnesium,,"Supplement FactsServing Size: 1 CapsuleServing Per Container: 90Per CapsulePer Day (3 Capsules) Amount Per Serving% Daily ValueAmount Per Serving% Daily ValueVitamin C (from magnesium ascorbate)100 mg111%300 mg333%Magnesium (from magnesium glycinate, ascorbate, malate, and aspartate)100 mg25%300 mg70%Glycine (from Magnesium Glycinate)480 mg†1,440 mg†Aspartate (from Magnesium Aspartate)50 mg†150 mg†Malate (from Magnesium Malate)50 mg†150 mg††Daily Value not established.",성분 추출 실패,,True,성분 추출 실패
"Kyolic, Aged Garlic Extract, CoQ10, Formula 110, 100 Capsules",Coenzyme Q10 (CoQ10),Heart Support Formulas,Supplement FactsServing Size: 2 CapsulesServings Per Container: 50 Amount Per Serving%Daily ValueAged Garlic Extract™†† Powder (bulb)600 mg**Coenzyme Q1060 mg****Daily Value not established†† Special Garlic Preparation,성분 추출 실패,,True,성분 추출 실패
"Kyolic, Kyo-Dophilus, Daily Probiotic, 3 Billion CFU, 360 Capsules",Probiotics,Immune Formulas,"Supplement Facts Serving Size: 2 capsules Servings Per Container: 180 Amount Per Serving% Daily ValueProprietary BlendLactobacillus gasseri KS-13, Bifidobacterium bifidum G9-1, Bifidobacterium longum MM-23 billion live cells†**** Daily Value not established† Prior to Expiration",성분 추출 실패,,True,성분 추출 실패
"Wiley's Finest, Wild Alaskan Fish Oil, Prenatal DHA, 600 mg, 60 Fish Softgels",Pre & Post-Natal Formulas,,"Supplement FactsServing Size: 2 SoftgelsServings Per Container: 30 Amount Per Serving% Daily Value*Calories15 Total Fat1.5 g2%Cholesterol15 mg5%Concentrated Fish Oil1200 mgEPA (Eicosapentaenoic Acid)120 mg**DHA (Docosahexaenoic Acid)600 mgOther Omega-3 Fatty Acids60 mg*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.**Daily Value not established",성분 추출 실패,,True,성분 추출 실패
"Pure Essence, BrainEssence, 60 Tablets",Cognitive & Memory Formulas,,"Supplement FactsServing Size: 2 TabletsServing Per Container: 30 Amount Per Serving%Daily ValueAcetyl-L-Carnitine500 mg*Bacopa monnieri extract (whole herb)300 mg*Organic Ashwagandha extract (root) (KSM-66®)200 mg*Mucuna pruriens (seed)200 mg*Schizandra extract (fruit and seed)200 mg*Phosphatidylserine (Sharp PS®, soy-free)100 mg*Alpha lipoic acid100 mg*Gotu kola extract (leaf)75 mg*Rhodiola extract (RhodioLife® - Certified Standardized Siberian Rhodiola root extract)50 mg*Fisetin extract (stem) (Novusetin®)10 mg*Chinese club moss extract (whole herb) (1% huperzine-A)100 mcg**Daily Value (DV) not established.",성분 추출 실패,,True,성분 추출 실패
"Thorne Research, Iodine & Tyrosine, 60 Capsules",L-Tyrosine,Iodine,Supplement FactsServing Size:  One Capsule One Capsule Contains:%Daily ValueIodine (as Potassium Iodide)225 mcg150%L-Tyrosine500 mg**Daily Value (DV) not established.,성분 추출 실패,,True,성분 추출 실패
"Christopher's Original Formulas, X-INFX, 440 mg, 100 Vegetarian Caps",Herbal Formulas,,"Supplement FactsServing Size: 2 CapsulesServings per Container: 50 Amount Per Serving% Daily ValueProprietary BlendWildcrafted Black Walnut Leaf, Wildcrafted Goldenseal Root, Wildcrafted Bugleweed Herb, Wildcrafted Plantain Leaf, Wildcrafted Marshmallow Root, and Organic Lobelia Herb880 mg**Daily Value not established",성분 추출 실패,,True,성분 추출 실패
