Title,Category 2,Category 3,Supplement Facts,fail_reason
"Enzymedica, Digest Spectrum, Complete Food Intolerance Formula, 90 Capsules",Digestive Enzymes,,"Supplement FactsServing Size: 2 CapsulesServing Per Container: 45 Amount Per Serving%DVDPP-IV1,400 DPPU**Amylase Thera-blend™14,000 DU**Xylanase20,000 XU**Protease Thera-blend™98,000 HUT**Alpha Galactosidase600 GalU**Glucoamylase40 AGU**Lactase2,000 ALU**Lipase Thera-blend™916 FCCFIP**Maltase200 DPº**Cellulase Thera-blend™400 CU**Invertase150 SU**Pectinase (w/Phytase)50 Endo-PGU**Hemicellulase50 HCU**** Daily Value not established",성분 추출 실패
"Ojio, Chlorella Spirulina, 50/50 Blend, 250 mg, 1,000 Tablets",Chlorella,Spirulina,"Supplement FactsServing Size: 12 tablets (3 g)Servings Per Container: 83 Amount Per Serving%Daily Value*Calories12 Total Fat<1 g<1%Total Carbohydrate<1 g<1%Protein2 g4%Vitamin A482 IU10%Vitamin D109 IU27%Vitamin K48 mcg60%Thiamin (B1)0.08 mg5%Riboflavin (B2)1.7 mg7%Niacin (B3)0.8 mg4%Vitamin B60.06 mg3%Folate (B9)273 mcg7%Vitamin B120.1 mcg2%Iron2 mg11%Phosphorus40 mg4%Magnesium12 mg3%Manganese0.12 mg6%Sodium8 mg1%Chlorella (Chlorella pyrenoidosa) & Spirulina (Spirulina platensis)3 g**Phycocyanin8 mg**Chlorophyll50 mg***Percent Daily Values (DV) based on 2,000 calorie diet.**Daily Value not established.",성분 추출 실패
"Nordic Naturals, Nordic Omega-3 Fishies, For Ages 2+, Yummy Tutti Frutti Taste, 300 mg, 36 Fishies",Children's DHA & Omegas,,"Supplement FactsServing Size: 1 FishieServings Per Box: 36 Amount Per Serving% 2-4 yrs♦% 4+ yrs**Calories5  Total Fat0.5 g1%<1%Saturated Fat0 g†0%Trans Fat0 g††Total Omega-3s300 mg††EPA (Eicosapentaenoic Acid)150 mg††DHA (Docosahexaenoic Acid)100 mg††Other Omega-3s50 mg††♦Percent Daily Values are based on a 1,000 calorie diet.**Percent Daily Values are based on a 2,000 calorie diet.†Daily Value not established.1Daily Value (DV) for children 1-3 years of age. 2Daily Value (DV) for adults and children over 4 years of age. ",성분 추출 실패
"Ovega-3, Vegan Omega-3, DHA + EPA, 500 mg, 60 Vegetarian Capsules",Omega-3 Fish Oil,,"Supplement FactsServing Size: One (1) Softgel Amount Per Serving%Daily ValueCalories10 Total Fat1 g1%**Total Carbohydrate1 g0%**Total Sugars0 g†Incl. 0 g Added Sugars 0%**Sugar Alcohol<1 g†Omega-3 fatty acids (from Algal Oil)DHA (docosahexaenoic acid)EPA (eicosapentaenoic acid)500 mg270 mg135 mg†††**Percent Daily Values based on a 2,000 calorie diet† Daily Value not established.",성분 추출 실패
"Vplab, L-Carnitine, 500 mg, 90 Capsules",L-Carnitine,,Supplement FactsServing Size: 3 CapsulesServings Per Container: 90 Amount Per Serving%Daily Value* L-Carnitine L-Tartrate1500 mg* *Daily Value not established.,성분 추출 실패
"Choice Organic Teas, Herbal Tea, Mandarin Ginger, Caffeine Free, 16 Tea Bags, 1.02 oz (29 g)",Ginger Tea,Herbal Tea,,공란 또는 타입 오류
"Twinings, Herbal Tea, Camomile, Honey & Vanilla, Caffeine Free, 20 Tea Bags, 1.13 oz (32 g)",Chamomile Tea,,,공란 또는 타입 오류
"21st Century, Niacin, Prolonged Release, 250 mg, 110 Tablets",B3 Niacin,,"Supplement FactsServing Size: 1 Tablet Amount Per Serving% Daily ValueNiacin250 mg1,563%Calcium (as Calcium Carbonate)125 mg10%",성분 추출 실패
"Enzymedica, Digest Spectrum, Complete Food Intolerance Formula, 30 Capsules",Digestive Enzymes,,"Supplement FactsServing Size: 2 CapsulesServings Per Container:  15 Amount Per Serving%Daily ValueDPP-IV1,400 DPPU**Amylase Thera-blend™14,000 DU**Xylanase20,000 XU**Protease Thera-blend™98,000 HUT**Alpha Galactosidase600 GaIU**Glucoamylase40 AGU**Lactase2,000 ALU**Lipase Thera-blend™916 FCCFIP**Maltase200 DP**Cellulase Thera-blend™400 CU**Invertase150 SU**Pectinase (w/Phytase)50 Endo-PGU**Hemicellulase50 HCU****Daily Value not established",성분 추출 실패
"Solgar, Reduced L-Glutathione, 250 mg, 60 Vegetable Capsules",L-Glutathione,,Supplement FactsServing Size: 1 Vegetable Capsule Amount Per Serving% Daily ValueL-Glutathione(reduced)(Free Form)250 mg****Daily Value not established.,성분 추출 실패
"Emerald Laboratories, Thyroid Health, 60 Vegetable Caps",Herbal Formulas,Thyroid Formulas,"Supplement FactsServing Size: 2 CapsulesServings Per Container: 30 Amount Per Serving% Daily Value*Selenium (SelenoExcell®)(non-pathogenic, non-GMO Saccharomyces cerevisiae yeast)200 mcg363%Iodine (Atlantic Kelp)150 mcg100%Thyroid Glandular Powder (Bovine-sourced, thyroxine-free, freeze-dried)350 mg†Sensoril® Ashwagandha Extract (8% Withanolides)125 mg†Tyrosine500 mg†Rosemary Extract (6% Carnosic Acid)100 mg†Raw Whole-Food Proprietary BlendOrganic Raw Whole Food Sprout Powders (Organic Quinoa, Organic Mung Bean, Organic Millet), Raw Probiotic Blend (400 million CFU's Acidophilus/B. Bifidum), Raw Plant Enzyme Blend (Lipase, Lactase, Invertase, Protease, Hemicellulase, Cellulase, Alpha-Galactosidase, Amylase, Bromelain, Papain, Acid-Stable Protease, Maltase), Fructo-Oligosaccharides, Whole Food Pomegranate Juice Powder, Organic Raw Whole Food Freeze-Dried Acai Powder, Whole Food Mangosteen Hull Powder, Organic Whole Food Noni Fruit Powder.100 mg†* Percent Daily Value based on a 2000 calorie diet.† Percentage Daily Value not established.",성분 추출 실패
"Frontier Co-Op, Slippery Elm Inner Bark, 16 oz (453 g)",Herbal Tea,Slippery Elm,"Supplement FactsServing Size: 1 tsp. (1.3 g)Servings Per Container: about 349Amount per Serving%Daily ValueTotal Carbohydrate<1 g<1%*Dietary Fiber<1 g2%Slippery Elm, powder (inner bark)1.3 g*** Percent Daily Values are based on a 2,000 calorie diet.** Daily Value not established.",성분 추출 실패
"Ecological Formulas, Allithiamine (Vitamin B1), 50 mg, 250 Capsules ",B1,,Supplement FactsServing Size: 1 CapsuleServings Per Container: 250 Amount Per Serving%Daily ValueThiamine (TTFD)(as thiamin tetrahydrofurfuryl disulfide)50 mg**** Daily Value Not Established,성분 추출 실패
"BPI Sports, CLA + Carnitine, Snow Cone, 12.34 oz (350 g)",CLA (Conjugated Linoleic Acid),L-Carnitine,"Supplement FactsServing Size: 1 Scoop (7 grams)Serving Per Container: 50 Amount Per Serving% Daily ValueCalories10 Calories from Fat10 Total Fat1 g2%†Vitamin D3 (as cholecalciferol)250 mcg (10,000 IU)1,250%Omega 6 Fatty Acids & CLA Matrix (Proprietary)Coconut oil powder (fruit), avocado oil powder (fruit), safflower oil powder (seed) [providing CLA (conjugated linoleic acid)]2.5 g**Carnitine Matrix (Proprietary blend)Carnitine betaine anhydrous, L-Carnitine Tartrate, Glycerin Propionyl L-Carnitine HCI2 g**†Percent Daily Values are based on a 2,000 calorie diet.**Daily Value not established.",성분 추출 실패
"Nature's Way, L-Theanine, 60 Veg Capsules",L-Theanine,,Supplement FactsServing Size: 2 capsulesServings Per Container: 30 Amount per capsule% Daily ValueL-Theanine (Suntheanine® )200 mg****Daily Value (DV) not established.,성분 추출 실패
